"iso_code3","frac_waso_isw_incinerated_recovered_for_energy","Year"
"ESP",0.0238278584383803,2049
"ESP",0.0238278584383803,2050
"EST",0.0177615954628906,2021
"EST",0.0177615954628906,2022
"EST",0.0177615954628906,2023
"EST",0.0177615954628906,2024
"EST",0.0177615954628906,2025
"EST",0.0177615954628906,2026
"EST",0.0177615954628906,2027
"EST",0.0177615954628906,2028
"EST",0.0177615954628906,2029
"EST",0.0177615954628906,2030
"EST",0.0177615954628906,2031
"EST",0.0177615954628906,2032
"EST",0.0177615954628906,2033
"EST",0.0177615954628906,2034
"EST",0.0177615954628906,2035
"EST",0.0177615954628906,2036
"EST",0.0177615954628906,2037
"EST",0.0177615954628906,2038
"EST",0.0177615954628906,2039
"EST",0.0177615954628906,2040
"EST",0.0177615954628906,2041
"EST",0.0177615954628906,2042
"EST",0.0177615954628906,2043
"EST",0.0177615954628906,2044
"EST",0.0177615954628906,2045
"EST",0.0177615954628906,2046
"EST",0.0177615954628906,2047
"EST",0.0177615954628906,2048
"EST",0.0177615954628906,2049
"EST",0.0177615954628906,2050
"ETH",0.0530314299607309,2021
"ETH",0.0530314299607309,2022
"ETH",0.0530314299607309,2023
"ETH",0.0530314299607309,2024
"ETH",0.0530314299607309,2025
"ETH",0.0530314299607309,2026
"ETH",0.0530314299607309,2027
"ETH",0.0530314299607309,2028
"ETH",0.0530314299607309,2029
"ETH",0.0530314299607309,2030
"ETH",0.0530314299607309,2031
"ETH",0.0530314299607309,2032
"ETH",0.0530314299607309,2033
"ETH",0.0530314299607309,2034
"ETH",0.0530314299607309,2035
"ETH",0.0530314299607309,2036
"ETH",0.0530314299607309,2037
"ETH",0.0530314299607309,2038
"ETH",0.0530314299607309,2039
"ETH",0.0530314299607309,2040
"ETH",0.0530314299607309,2041
"ETH",0.0530314299607309,2042
"ETH",0.0530314299607309,2043
"ETH",0.0530314299607309,2044
"ETH",0.0530314299607309,2045
"ETH",0.0530314299607309,2046
"ETH",0.0530314299607309,2047
"ETH",0.0530314299607309,2048
"ETH",0.0530314299607309,2049
"ETH",0.0530314299607309,2050
"FIN",0.0125013166571378,2021
"FIN",0.0125013166571378,2022
"FIN",0.0125013166571378,2023
"FIN",0.0125013166571378,2024
"FIN",0.0125013166571378,2025
"FIN",0.0125013166571378,2026
"FIN",0.0125013166571378,2027
"FIN",0.0125013166571378,2028
"FIN",0.0125013166571378,2029
"FIN",0.0125013166571378,2030
"FIN",0.0125013166571378,2031
"FIN",0.0125013166571378,2032
"FIN",0.0125013166571378,2033
"FIN",0.0125013166571378,2034
"FIN",0.0125013166571378,2035
"FIN",0.0125013166571378,2036
"FIN",0.0125013166571378,2037
"FIN",0.0125013166571378,2038
"FIN",0.0125013166571378,2039
"FIN",0.0125013166571378,2040
"FIN",0.0125013166571378,2041
"FIN",0.0125013166571378,2042
"FIN",0.0125013166571378,2043
"FIN",0.0125013166571378,2044
"FIN",0.0125013166571378,2045
"FIN",0.0125013166571378,2046
"FIN",0.0125013166571378,2047
"FIN",0.0125013166571378,2048
"FIN",0.0125013166571378,2049
"FIN",0.0125013166571378,2050
"FJI",0.0309284981386944,2021
"FJI",0.0309284981386944,2022
"FJI",0.0309284981386944,2023
"FJI",0.0309284981386944,2024
"FJI",0.0309284981386944,2025
"FJI",0.0309284981386944,2026
"FJI",0.0309284981386944,2027
"FJI",0.0309284981386944,2028
"FJI",0.0309284981386944,2029
"FJI",0.0309284981386944,2030
"FJI",0.0309284981386944,2031
"FJI",0.0309284981386944,2032
"FJI",0.0309284981386944,2033
"FJI",0.0309284981386944,2034
"FJI",0.0309284981386944,2035
"FJI",0.0309284981386944,2036
"FJI",0.0309284981386944,2037
"FJI",0.0309284981386944,2038
"FJI",0.0309284981386944,2039
"FJI",0.0309284981386944,2040
"FJI",0.0309284981386944,2041
"FJI",0.0309284981386944,2042
"FJI",0.0309284981386944,2043
"FJI",0.0309284981386944,2044
"FJI",0.0309284981386944,2045
"FJI",0.0309284981386944,2046
"FJI",0.0309284981386944,2047
"FJI",0.0309284981386944,2048
"FJI",0.0309284981386944,2049
"FJI",0.0309284981386944,2050
"FRA",0.0247740922166716,2021
"FRA",0.0247740922166716,2022
"FRA",0.0247740922166716,2023
"FRA",0.0247740922166716,2024
"FRA",0.0247740922166716,2025
"FRA",0.0247740922166716,2026
"FRA",0.0247740922166716,2027
"FRA",0.0247740922166716,2028
"FRA",0.0247740922166716,2029
"FRA",0.0247740922166716,2030
"FRA",0.0247740922166716,2031
"FRA",0.0247740922166716,2032
"FRA",0.0247740922166716,2033
"FRA",0.0247740922166716,2034
