Year,iso_code3,frac_scoe_heat_energy_commercial_municipal_coal
2014,DOM,0.013190323236053207
2015,DOM,0.013190323236053207
2016,DOM,0.013190323236053207
2017,DOM,0.013190323236053207
2018,DOM,0.013190323236053207
2019,DOM,0.013190323236053207
2011,DZA,0.013190323236053207
2012,DZA,0.013190323236053207
2013,DZA,0.013190323236053207
2014,DZA,0.013190323236053207
2015,DZA,0.013190323236053207
2016,DZA,0.013190323236053207
2017,DZA,0.013190323236053207
2018,DZA,0.013190323236053207
2019,DZA,0.013190323236053207
2011,ECU,0.013190323236053207
2012,ECU,0.013190323236053207
2013,ECU,0.013190323236053207
2014,ECU,0.013190323236053207
2015,ECU,0.013190323236053207
2016,ECU,0.013190323236053207
2017,ECU,0.013190323236053207
2018,ECU,0.013190323236053207
2019,ECU,0.013190323236053207
2011,EGY,0.013190323236053207
2012,EGY,0.013190323236053207
2013,EGY,0.013190323236053207
