"iso_code3","frac_waso_initial_composition_mun_other","Year"
"ESP",0.028,2011
"ESP",0.028,2012
"ESP",0.028,2013
"ESP",0.028,2014
"ESP",0.028,2015
"ESP",0.028,2016
"ESP",0.028,2017
"ESP",0.028,2018
"ESP",0.028,2019
"ESP",0.028,2020
"EST",0.0318,2010
"EST",0.0318,2011
"EST",0.0318,2012
"EST",0.0318,2013
"EST",0.0318,2014
"EST",0.0318,2015
"EST",0.0318,2016
"EST",0.0318,2017
"EST",0.0318,2018
"EST",0.0318,2019
"EST",0.0318,2020
"ETH",0.0088,2010
"ETH",0.0088,2011
"ETH",0.0088,2012
"ETH",0.0088,2013
"ETH",0.0088,2014
"ETH",0.0088,2015
"ETH",0.0088,2016
"ETH",0.0088,2017
"ETH",0.0088,2018
"ETH",0.0088,2019
"ETH",0.0088,2020
"FIN",0.02626,2010
"FIN",0.02626,2011
"FIN",0.02626,2012
"FIN",0.02626,2013
"FIN",0.02626,2014
"FIN",0.02626,2015
"FIN",0.02626,2016
"FIN",0.02626,2017
"FIN",0.02626,2018
"FIN",0.02626,2019
"FIN",0.02626,2020
"FJI",0.007,2010
"FJI",0.007,2011
"FJI",0.007,2012
"FJI",0.007,2013
"FJI",0.007,2014
"FJI",0.007,2015
"FJI",0.007,2016
"FJI",0.007,2017
"FJI",0.007,2018
"FJI",0.007,2019
"FJI",0.007,2020
"FRA",0.052,2010
"FRA",0.052,2011
"FRA",0.052,2012
"FRA",0.052,2013
"FRA",0.052,2014
"FRA",0.052,2015
"FRA",0.052,2016
"FRA",0.052,2017
"FRA",0.052,2018
"FRA",0.052,2019
"FRA",0.052,2020
"FRO",0.0360117589186555,2010
"FRO",0.0360117589186555,2011
"FRO",0.0360117589186555,2012
"FRO",0.0360117589186555,2013
"FRO",0.0360117589186555,2014
"FRO",0.0360117589186555,2015
"FRO",0.0360117589186555,2016
"FRO",0.0360117589186555,2017
"FRO",0.0360117589186555,2018
"FRO",0.0360117589186555,2019
"FRO",0.0360117589186555,2020
"FSM",0.01864,2010
"FSM",0.01864,2011
"FSM",0.01864,2012
"FSM",0.01864,2013
"FSM",0.01864,2014
"FSM",0.01864,2015
"FSM",0.01864,2016
"FSM",0.01864,2017
"FSM",0.01864,2018
"FSM",0.01864,2019
"FSM",0.01864,2020
"GAB",0.0379884209834111,2010
"GAB",0.0379884209834111,2011
"GAB",0.0379884209834111,2012
"GAB",0.0379884209834111,2013
"GAB",0.0379884209834111,2014
"GAB",0.0379884209834111,2015
"GAB",0.0379884209834111,2016
"GAB",0.0379884209834111,2017
"GAB",0.0379884209834111,2018
"GAB",0.0379884209834111,2019
"GAB",0.0379884209834111,2020
"GBR",0.0564,2010
"GBR",0.0564,2011
"GBR",0.0564,2012
"GBR",0.0564,2013
"GBR",0.0564,2014
"GBR",0.0564,2015
"GBR",0.0564,2016
"GBR",0.0564,2017
"GBR",0.0564,2018
"GBR",0.0564,2019
"GBR",0.0564,2020
"GEO",0.032,2010
"GEO",0.032,2011
"GEO",0.032,2012
"GEO",0.032,2013
"GEO",0.032,2014
"GEO",0.032,2015
"GEO",0.032,2016
"GEO",0.032,2017
"GEO",0.032,2018
"GEO",0.032,2019
"GEO",0.032,2020
"GHA",0.05,2010
"GHA",0.05,2011
"GHA",0.05,2012
"GHA",0.05,2013
"GHA",0.05,2014
"GHA",0.05,2015
"GHA",0.05,2016
"GHA",0.05,2017
"GHA",0.05,2018
"GHA",0.05,2019
"GHA",0.05,2020
"GIB",0.02876,2010
"GIB",0.02876,2011
"GIB",0.02876,2012
"GIB",0.02876,2013
"GIB",0.02876,2014
"GIB",0.02876,2015
"GIB",0.02876,2016
"GIB",0.02876,2017
"GIB",0.02876,2018
"GIB",0.02876,2019
"GIB",0.02876,2020
"GIN",0.054,2010
"GIN",0.054,2011
"GIN",0.054,2012
"GIN",0.054,2013
"GIN",0.054,2014
"GIN",0.054,2015
"GIN",0.054,2016
"GIN",0.054,2017
"GIN",0.054,2018
"GIN",0.054,2019
"GIN",0.054,2020
"GMB",0.1028,2010
"GMB",0.1028,2011
"GMB",0.1028,2012
"GMB",0.1028,2013
"GMB",0.1028,2014
"GMB",0.1028,2015
"GMB",0.1028,2016
"GMB",0.1028,2017
"GMB",0.1028,2018
"GMB",0.1028,2019
"GMB",0.1028,2020
"GNB",0.0392643463148118,2010
