"iso_code3","frac_waso_non_recycled_landfilled","Year"
"ECU",0,2016
"ECU",0,2017
"ECU",0,2018
"ECU",0,2019
"ECU",0,2020
"EGY",0.07,2010
"EGY",0.07,2011
"EGY",0.07,2012
"EGY",0.07,2013
"EGY",0.07,2014
"EGY",0.07,2015
"EGY",0.07,2016
"EGY",0.07,2017
"EGY",0.07,2018
"EGY",0.07,2019
"EGY",0.07,2020
"ERI",0,2010
"ERI",0,2011
"ERI",0,2012
"ERI",0,2013
"ERI",0,2014
"ERI",0,2015
"ERI",0,2016
"ERI",0,2017
"ERI",0,2018
"ERI",0,2019
"ERI",0,2020
"ESP",0.5509,2010
"ESP",0.5509,2011
"ESP",0.5509,2012
"ESP",0.5509,2013
"ESP",0.5509,2014
"ESP",0.5509,2015
"ESP",0.5509,2016
"ESP",0.5509,2017
"ESP",0.5509,2018
"ESP",0.5509,2019
"ESP",0.5509,2020
"EST",0.074,2010
"EST",0.074,2011
"EST",0.074,2012
"EST",0.074,2013
"EST",0.074,2014
"EST",0.074,2015
"EST",0.074,2016
"EST",0.074,2017
"EST",0.074,2018
"EST",0.074,2019
"EST",0.074,2020
"ETH",0,2010
"ETH",0,2011
"ETH",0,2012
"ETH",0,2013
"ETH",0,2014
"ETH",0,2015
"ETH",0,2016
"ETH",0,2017
"ETH",0,2018
"ETH",0,2019
"ETH",0,2020
"FIN",0.115,2010
"FIN",0.115,2011
"FIN",0.115,2012
"FIN",0.115,2013
"FIN",0.115,2014
"FIN",0.115,2015
"FIN",0.115,2016
"FIN",0.115,2017
"FIN",0.115,2018
"FIN",0.115,2019
"FIN",0.115,2020
"FJI",0.52,2010
"FJI",0.52,2011
"FJI",0.52,2012
"FJI",0.52,2013
"FJI",0.52,2014
"FJI",0.52,2015
"FJI",0.52,2016
"FJI",0.52,2017
"FJI",0.52,2018
"FJI",0.52,2019
"FJI",0.52,2020
"FRA",0.2576,2010
"FRA",0.2576,2011
"FRA",0.2576,2012
"FRA",0.2576,2013
"FRA",0.2576,2014
"FRA",0.2576,2015
"FRA",0.2576,2016
"FRA",0.2576,2017
"FRA",0.2576,2018
"FRA",0.2576,2019
"FRA",0.2576,2020
"FRO",0,2010
"FRO",0,2011
"FRO",0,2012
"FRO",0,2013
"FRO",0,2014
"FRO",0,2015
"FRO",0,2016
"FRO",0,2017
"FRO",0,2018
"FRO",0,2019
"FRO",0,2020
"FSM",0,2010
"FSM",0,2011
"FSM",0,2012
"FSM",0,2013
"FSM",0,2014
"FSM",0,2015
"FSM",0,2016
"FSM",0,2017
"FSM",0,2018
"FSM",0,2019
"FSM",0,2020
"GAB",0,2010
"GAB",0,2011
"GAB",0,2012
"GAB",0,2013
"GAB",0,2014
"GAB",0,2015
"GAB",0,2016
"GAB",0,2017
"GAB",0,2018
"GAB",0,2019
"GAB",0,2020
"GBR",0.22568,2010
"GBR",0.22568,2011
