Year,iso_code3,pij_lndu_wetlands_to_forests_secondary
2015,VIR,1.0004624365541166e-05
2016,VIR,0.0
2017,VIR,0.0099985202640587
2018,VIR,3.0360783850523745e-05
2015,VNM,0.004553102038999
2016,VNM,0.0013681737253402
2017,VNM,0.0031274878049173
2018,VNM,0.0035102455211784
2015,VUT,0.0
2016,VUT,0.0042655421967313
2017,VUT,0.0091042435346969
2018,VUT,0.0002548006817026
2015,ZAF,3.3925547366372223e-05
2016,ZAF,0.0001215092312276
2017,ZAF,0.0017432578601046
2018,ZAF,0.0009808887878995
2015,ZMB,9.791269249152142e-06
2016,ZMB,5.171089858349933e-05
2017,ZMB,1.4255630909508534e-05
2018,ZMB,1.47438880674436e-05
2015,ZWE,0.0116756229023623
2016,ZWE,0.0001511519150673
2017,ZWE,1.0025173412532636e-05
2018,ZWE,0.0094567923115882
