Year,iso_code3,frac_lndu_initial_other
2043,FSM,-0.0020961049314934324
2044,FSM,-0.0020961049314934324
2045,FSM,-0.0020961049314934324
2046,FSM,-0.0020961049314934324
2047,FSM,-0.0020961049314934324
2048,FSM,-0.0020961049314934324
2049,FSM,-0.0020961049314934324
2050,FSM,-0.0020961049314934324
1992,GAB,0.011909588549987584
1993,GAB,0.012057586725751574
1994,GAB,0.012103611395121809
1995,GAB,0.012148106245065779
1996,GAB,0.011671026560073338
1997,GAB,0.0114925645806737
1998,GAB,0.011553160594811743
1999,GAB,0.012104994558536688
2000,GAB,0.012294117821078759
2001,GAB,0.012580147918366928
2002,GAB,0.012554242524699132
2003,GAB,0.012549163012922287
2004,GAB,0.012901859680898822
2005,GAB,0.012790497564101317
2006,GAB,0.012757561916747484
2007,GAB,0.01269408166134391
2008,GAB,0.012213956419989146
2009,GAB,0.012147613784523293
2010,GAB,0.011894128247420978
2011,GAB,0.011406279680211122
2012,GAB,0.011439788584358172
2013,GAB,0.011236008615372247
2014,GAB,0.011154095383842962
2019,GAB,0.010960164761817985
2020,GAB,0.010900960067942838
2021,GAB,0.010900960067942838
2022,GAB,0.010900960067942838
2023,GAB,0.010900960067942838
2024,GAB,0.010900960067942838
2025,GAB,0.010900960067942838
2026,GAB,0.010900960067942838
2027,GAB,0.010900960067942838
2028,GAB,0.010900960067942838
2029,GAB,0.010900960067942838
2030,GAB,0.010900960067942838
2031,GAB,0.010900960067942838
2032,GAB,0.010900960067942838
2033,GAB,0.010900960067942838
2034,GAB,0.010900960067942838
2035,GAB,0.010900960067942838
2036,GAB,0.010900960067942838
2037,GAB,0.010900960067942838
2038,GAB,0.010900960067942838
2039,GAB,0.010900960067942838
2040,GAB,0.010900960067942838
2041,GAB,0.010900960067942838
2042,GAB,0.010900960067942838
2043,GAB,0.010900960067942838
2044,GAB,0.010900960067942838
2045,GAB,0.010900960067942838
2046,GAB,0.010900960067942838
2047,GAB,0.010900960067942838
2048,GAB,0.010900960067942838
2049,GAB,0.010900960067942838
2050,GAB,0.010900960067942838
1992,GBR,0.06572374833589445
1993,GBR,0.06819885013906392
1994,GBR,0.06812099679821519
1995,GBR,0.06745878667606364
1996,GBR,0.06637037211774494
1997,GBR,0.06384631026540594
1998,GBR,0.06337287561929697
1999,GBR,0.06280651720810279
2000,GBR,0.06326047004079347
2001,GBR,0.06455493353448437
2002,GBR,0.06336411493478832
2003,GBR,0.06321055796887996
2004,GBR,0.06253884823987965
2005,GBR,0.06330239397881589
2006,GBR,0.06389335929651484
2007,GBR,0.06314232249309203
2008,GBR,0.061480075021472305
2009,GBR,0.06251865848617454
2010,GBR,0.06194807380319147
2011,GBR,0.061169026555786016
2012,GBR,0.060424959818732346
2013,GBR,0.061219724612750576
2014,GBR,0.060724439794950916
2019,GBR,0.061487202707816276
2020,GBR,0.06349744903070446
2021,GBR,0.06349744903070446
2022,GBR,0.06349744903070446
2023,GBR,0.06349744903070446
2024,GBR,0.06349744903070446
2025,GBR,0.06349744903070446
2026,GBR,0.06349744903070446
2027,GBR,0.06349744903070446
2028,GBR,0.06349744903070446
2029,GBR,0.06349744903070446
2030,GBR,0.06349744903070446
2031,GBR,0.06349744903070446
2032,GBR,0.06349744903070446
2033,GBR,0.06349744903070446
2034,GBR,0.06349744903070446
2035,GBR,0.06349744903070446
2036,GBR,0.06349744903070446
2037,GBR,0.06349744903070446
2038,GBR,0.06349744903070446
2039,GBR,0.06349744903070446
2040,GBR,0.06349744903070446
2041,GBR,0.06349744903070446
2042,GBR,0.06349744903070446
2043,GBR,0.06349744903070446
2044,GBR,0.06349744903070446
2045,GBR,0.06349744903070446
2046,GBR,0.06349744903070446
2047,GBR,0.06349744903070446
2048,GBR,0.06349744903070446
2049,GBR,0.06349744903070446
2050,GBR,0.06349744903070446
1994,GEO,0.11552041652434986
2000,GEO,0.10633657569414023
2005,GEO,0.08726700307646575
2010,GEO,0.1496479400161332
2011,GEO,0.14131875145314254
2012,GEO,0.1449549336737862
2013,GEO,0.12526024271590816
2014,GEO,0.14257266256165818
2019,GEO,0.1426605571570986
2020,GEO,0.1426605571570986
2021,GEO,0.1426605571570986
2022,GEO,0.1426605571570986
2023,GEO,0.1426605571570986
2024,GEO,0.1426605571570986
2025,GEO,0.1426605571570986
2026,GEO,0.1426605571570986
2027,GEO,0.1426605571570986
2028,GEO,0.1426605571570986
2029,GEO,0.1426605571570986
2030,GEO,0.1426605571570986
2031,GEO,0.1426605571570986
2032,GEO,0.1426605571570986
2033,GEO,0.1426605571570986
2034,GEO,0.1426605571570986
2035,GEO,0.1426605571570986
2036,GEO,0.1426605571570986
2037,GEO,0.1426605571570986
2038,GEO,0.1426605571570986
2039,GEO,0.1426605571570986
2040,GEO,0.1426605571570986
2041,GEO,0.1426605571570986
2042,GEO,0.1426605571570986
2043,GEO,0.1426605571570986
2044,GEO,0.1426605571570986
2045,GEO,0.1426605571570986
2046,GEO,0.1426605571570986
2047,GEO,0.1426605571570986
2048,GEO,0.1426605571570986
2049,GEO,0.1426605571570986
2050,GEO,0.1426605571570986
1992,GHA,0.054442030600819716
1993,GHA,0.05290993990275391
1994,GHA,0.05314649488208967
1995,GHA,0.04267857724475481
1996,GHA,0.037245852948861936
1997,GHA,0.03819883029544651
1998,GHA,0.027275398098572677
1999,GHA,0.026732952383008757
2000,GHA,0.02331384071355062
2001,GHA,0.01964230495315022
2002,GHA,0.007065736954535459
2003,GHA,0.000759267232934045
2004,GHA,0.000729642142402501
2005,GHA,0.0007453198343082355
2006,GHA,0.0007506131197094363
2007,GHA,0.011076704958570945
2008,GHA,0.000765417518110901
2009,GHA,0.0007556074764606742
2010,GHA,0.0007605744600265545
2011,GHA,0.000744418792850756
2012,GHA,0.0006661941412179062
