Year,iso_code3,cost_enfu_fuel_hydrogen_usd_per_mmbtu
2047,BRB,120.89914942397824
2048,BRB,120.89914942397824
2049,BRB,120.89914942397824
2050,BRB,120.89914942397824
2021,BRN,120.89914942397824
2022,BRN,120.89914942397824
2023,BRN,120.89914942397824
2024,BRN,120.89914942397824
2025,BRN,120.89914942397824
2026,BRN,120.89914942397824
2027,BRN,120.89914942397824
2028,BRN,120.89914942397824
2029,BRN,120.89914942397824
2030,BRN,120.89914942397824
2031,BRN,120.89914942397824
2032,BRN,120.89914942397824
2033,BRN,120.89914942397824
2034,BRN,120.89914942397824
2035,BRN,120.89914942397824
2036,BRN,120.89914942397824
2037,BRN,120.89914942397824
2038,BRN,120.89914942397824
2039,BRN,120.89914942397824
2040,BRN,120.89914942397824
2041,BRN,120.89914942397824
2042,BRN,120.89914942397824
2043,BRN,120.89914942397824
2044,BRN,120.89914942397824
2045,BRN,120.89914942397824
2046,BRN,120.89914942397824
2047,BRN,120.89914942397824
2048,BRN,120.89914942397824
2049,BRN,120.89914942397824
2050,BRN,120.89914942397824
2021,BTN,120.89914942397824
2022,BTN,120.89914942397824
2023,BTN,120.89914942397824
2024,BTN,120.89914942397824
2025,BTN,120.89914942397824
2026,BTN,120.89914942397824
2027,BTN,120.89914942397824
2028,BTN,120.89914942397824
2029,BTN,120.89914942397824
2030,BTN,120.89914942397824
2031,BTN,120.89914942397824
2032,BTN,120.89914942397824
2033,BTN,120.89914942397824
2034,BTN,120.89914942397824
2035,BTN,120.89914942397824
2036,BTN,120.89914942397824
2037,BTN,120.89914942397824
2038,BTN,120.89914942397824
2039,BTN,120.89914942397824
2040,BTN,120.89914942397824
2041,BTN,120.89914942397824
2042,BTN,120.89914942397824
2043,BTN,120.89914942397824
2044,BTN,120.89914942397824
2045,BTN,120.89914942397824
2046,BTN,120.89914942397824
2047,BTN,120.89914942397824
2048,BTN,120.89914942397824
2049,BTN,120.89914942397824
2050,BTN,120.89914942397824
2021,BWA,120.46214
2022,BWA,120.46214
2023,BWA,120.46214
2024,BWA,120.46214
2025,BWA,120.46214
2026,BWA,120.46214
2027,BWA,120.46214
2028,BWA,120.46214
2029,BWA,120.46214
2030,BWA,120.46214
2031,BWA,120.46214
2032,BWA,120.46214
2033,BWA,120.46214
2034,BWA,120.46214
2035,BWA,120.46214
2036,BWA,120.46214
2037,BWA,120.46214
2038,BWA,120.46214
2039,BWA,120.46214
2040,BWA,120.46214
2041,BWA,120.46214
2042,BWA,120.46214
2043,BWA,120.46214
2044,BWA,120.46214
2045,BWA,120.46214
2046,BWA,120.46214
2047,BWA,120.46214
2048,BWA,120.46214
2049,BWA,120.46214
2050,BWA,120.46214
2021,CAF,120.89914942397824
2022,CAF,120.89914942397824
2023,CAF,120.89914942397824
2024,CAF,120.89914942397824
2025,CAF,120.89914942397824
2026,CAF,120.89914942397824
2027,CAF,120.89914942397824
2028,CAF,120.89914942397824
2029,CAF,120.89914942397824
2030,CAF,120.89914942397824
2031,CAF,120.89914942397824
2032,CAF,120.89914942397824
2033,CAF,120.89914942397824
2034,CAF,120.89914942397824
2035,CAF,120.89914942397824
2036,CAF,120.89914942397824
2037,CAF,120.89914942397824
2038,CAF,120.89914942397824
2039,CAF,120.89914942397824
2040,CAF,120.89914942397824
2041,CAF,120.89914942397824
2042,CAF,120.89914942397824
2043,CAF,120.89914942397824
2044,CAF,120.89914942397824
2045,CAF,120.89914942397824
2046,CAF,120.89914942397824
2047,CAF,120.89914942397824
2048,CAF,120.89914942397824
2049,CAF,120.89914942397824
2050,CAF,120.89914942397824
2021,CAN,59.32391832
2022,CAN,59.32391832
2023,CAN,59.32391832
2024,CAN,59.32391832
2025,CAN,59.32391832
2026,CAN,59.32391832
2027,CAN,59.32391832
2028,CAN,59.32391832
2029,CAN,59.32391832
2030,CAN,59.32391832
2031,CAN,59.32391832
2032,CAN,59.32391832
2033,CAN,59.32391832
2034,CAN,59.32391832
2035,CAN,59.32391832
2036,CAN,59.32391832
2037,CAN,59.32391832
2038,CAN,59.32391832
2039,CAN,59.32391832
2040,CAN,59.32391832
2041,CAN,59.32391832
2042,CAN,59.32391832
2043,CAN,59.32391832
2044,CAN,59.32391832
2045,CAN,59.32391832
2046,CAN,59.32391832
2047,CAN,59.32391832
2048,CAN,59.32391832
2049,CAN,59.32391832
2050,CAN,59.32391832
2021,CHE,74.31306257
2022,CHE,74.31306257
2023,CHE,74.31306257
2024,CHE,74.31306257
2025,CHE,74.31306257
