"iso_code3","frac_waso_initial_composition_mun_other","Year"
"BRN",0.03,2035
"BRN",0.03,2036
"BRN",0.03,2037
"BRN",0.03,2038
"BRN",0.03,2039
"BRN",0.03,2040
"BRN",0.03,2041
"BRN",0.03,2042
"BRN",0.03,2043
"BRN",0.03,2044
"BRN",0.03,2045
"BRN",0.03,2046
"BRN",0.03,2047
"BRN",0.03,2048
"BRN",0.03,2049
"BRN",0.03,2050
"BTN",0.014,2021
"BTN",0.014,2022
"BTN",0.014,2023
"BTN",0.014,2024
"BTN",0.014,2025
"BTN",0.014,2026
"BTN",0.014,2027
"BTN",0.014,2028
"BTN",0.014,2029
"BTN",0.014,2030
"BTN",0.014,2031
"BTN",0.014,2032
"BTN",0.014,2033
"BTN",0.014,2034
"BTN",0.014,2035
"BTN",0.014,2036
"BTN",0.014,2037
"BTN",0.014,2038
"BTN",0.014,2039
"BTN",0.014,2040
"BTN",0.014,2041
"BTN",0.014,2042
"BTN",0.014,2043
"BTN",0.014,2044
"BTN",0.014,2045
"BTN",0.014,2046
"BTN",0.014,2047
"BTN",0.014,2048
"BTN",0.014,2049
"BTN",0.014,2050
"BWA",0.1838,2021
"BWA",0.1838,2022
"BWA",0.1838,2023
"BWA",0.1838,2024
"BWA",0.1838,2025
"BWA",0.1838,2026
"BWA",0.1838,2027
"BWA",0.1838,2028
"BWA",0.1838,2029
"BWA",0.1838,2030
"BWA",0.1838,2031
"BWA",0.1838,2032
"BWA",0.1838,2033
"BWA",0.1838,2034
"BWA",0.1838,2035
"BWA",0.1838,2036
"BWA",0.1838,2037
"BWA",0.1838,2038
"BWA",0.1838,2039
"BWA",0.1838,2040
"BWA",0.1838,2041
"BWA",0.1838,2042
"BWA",0.1838,2043
"BWA",0.1838,2044
"BWA",0.1838,2045
"BWA",0.1838,2046
"BWA",0.1838,2047
"BWA",0.1838,2048
"BWA",0.1838,2049
"BWA",0.1838,2050
"CAF",0.0392845349969609,2021
"CAF",0.0392845349969609,2022
"CAF",0.0392845349969609,2023
"CAF",0.0392845349969609,2024
"CAF",0.0392845349969609,2025
"CAF",0.0392845349969609,2026
"CAF",0.0392845349969609,2027
