,Nation,iso_code3,Year,occrate_trns_passenger_per_vehicle_public
341,Euro area,EMU,2005,78.34671428571428
342,Euro area,EMU,2006,78.34671428571428
343,Euro area,EMU,2007,78.34671428571428
344,Euro area,EMU,2008,78.34671428571428
345,Eritrea,ERI,2004,78.34671428571428
346,Eritrea,ERI,2005,78.34671428571428
347,Eritrea,ERI,2006,78.34671428571428
348,Eritrea,ERI,2007,78.34671428571428
349,Eritrea,ERI,2008,78.34671428571428
350,Spain,ESP,2004,110.80000000000001
351,Spain,ESP,2005,109.55
352,Spain,ESP,2006,112.75
353,Spain,ESP,2007,107.60000000000001
354,Spain,ESP,2008,107.60000000000001
355,Estonia,EST,2004,114.46100000000001
356,Estonia,EST,2005,112.861
357,Estonia,EST,2006,116.061
358,Estonia,EST,2007,111.26100000000001
359,Estonia,EST,2008,111.26100000000001
360,Ethiopia,ETH,2004,78.34671428571428
361,Ethiopia,ETH,2005,78.34671428571428
362,Ethiopia,ETH,2006,78.34671428571428
363,Ethiopia,ETH,2007,78.34671428571428
364,Ethiopia,ETH,2008,78.34671428571428
365,European Union,EUU,2004,78.34671428571428
366,European Union,EUU,2005,78.34671428571428
367,European Union,EUU,2006,78.34671428571428
368,European Union,EUU,2007,78.34671428571428
369,European Union,EUU,2008,78.34671428571428
370,Fragile and conflict affected situations,FCS,2004,78.34671428571428
371,Fragile and conflict affected situations,FCS,2005,78.34671428571428
372,Fragile and conflict affected situations,FCS,2006,78.34671428571428
373,Fragile and conflict affected situations,FCS,2007,78.34671428571428
374,Fragile and conflict affected situations,FCS,2008,78.34671428571428
375,Finland,FIN,2004,78.34671428571428
376,Finland,FIN,2005,78.34671428571428
377,Finland,FIN,2006,78.34671428571428
378,Finland,FIN,2007,78.34671428571428
379,Finland,FIN,2008,78.34671428571428
380,Fiji,FJI,2004,78.34671428571428
381,Fiji,FJI,2005,78.34671428571428
382,Fiji,FJI,2006,78.34671428571428
383,Fiji,FJI,2007,78.34671428571428
384,Fiji,FJI,2008,78.34671428571428
385,France,FRA,2004,78.34671428571428
386,France,FRA,2005,78.34671428571428
387,France,FRA,2006,78.34671428571428
388,France,FRA,2007,78.34671428571428
389,France,FRA,2008,78.34671428571428
390,Faroe Islands,FRO,2004,78.34671428571428
391,Faroe Islands,FRO,2005,78.34671428571428
392,Faroe Islands,FRO,2006,78.34671428571428
393,Faroe Islands,FRO,2007,78.34671428571428
394,Faroe Islands,FRO,2008,78.34671428571428
395,"Micronesia, Fed. Sts.",FSM,2004,78.34671428571428
396,"Micronesia, Fed. Sts.",FSM,2005,78.34671428571428
397,"Micronesia, Fed. Sts.",FSM,2006,78.34671428571428
398,"Micronesia, Fed. Sts.",FSM,2007,78.34671428571428
399,"Micronesia, Fed. Sts.",FSM,2008,78.34671428571428
400,Gabon,GAB,2004,78.34671428571428
401,Gabon,GAB,2005,78.34671428571428
402,Gabon,GAB,2006,78.34671428571428
403,Gabon,GAB,2007,78.34671428571428
404,Gabon,GAB,2008,78.34671428571428
405,United Kingdom,GBR,2004,72.58571428571427
406,United Kingdom,GBR,2005,72.58571428571427
407,United Kingdom,GBR,2006,72.23571428571428
408,United Kingdom,GBR,2007,72.93571428571428
409,United Kingdom,GBR,2008,71.88571428571427
410,Georgia,GEO,2004,78.34671428571428
411,Georgia,GEO,2005,78.34671428571428
412,Georgia,GEO,2006,78.34671428571428
413,Georgia,GEO,2007,78.34671428571428
414,Georgia,GEO,2008,78.34671428571428
415,Ghana,GHA,2004,78.34671428571428
416,Ghana,GHA,2005,78.34671428571428
417,Ghana,GHA,2006,78.34671428571428
418,Ghana,GHA,2007,78.34671428571428
419,Ghana,GHA,2008,78.34671428571428
420,Gibraltar,GIB,2004,78.34671428571428
421,Gibraltar,GIB,2005,78.34671428571428
422,Gibraltar,GIB,2006,78.34671428571428
423,Gibraltar,GIB,2007,78.34671428571428
424,Gibraltar,GIB,2008,78.34671428571428
425,Guinea,GIN,2004,78.34671428571428
426,Guinea,GIN,2005,78.34671428571428
427,Guinea,GIN,2006,78.34671428571428
428,Guinea,GIN,2007,78.34671428571428
429,Guinea,GIN,2008,78.34671428571428
430,"Gambia, The",GMB,2004,78.34671428571428
431,"Gambia, The",GMB,2005,78.34671428571428
432,"Gambia, The",GMB,2006,78.34671428571428
433,"Gambia, The",GMB,2007,78.34671428571428
434,"Gambia, The",GMB,2008,78.34671428571428
435,Guinea-Bissau,GNB,2004,78.34671428571428
436,Guinea-Bissau,GNB,2005,78.34671428571428
437,Guinea-Bissau,GNB,2006,78.34671428571428
438,Guinea-Bissau,GNB,2007,78.34671428571428
439,Guinea-Bissau,GNB,2008,78.34671428571428
440,Equatorial Guinea,GNQ,2004,78.34671428571428
441,Equatorial Guinea,GNQ,2005,78.34671428571428
442,Equatorial Guinea,GNQ,2006,78.34671428571428
443,Equatorial Guinea,GNQ,2007,78.34671428571428
444,Equatorial Guinea,GNQ,2008,78.34671428571428
445,Greece,GRC,2004,78.34671428571428
446,Greece,GRC,2005,78.34671428571428
447,Greece,GRC,2006,78.34671428571428
448,Greece,GRC,2007,78.34671428571428
449,Greece,GRC,2008,78.34671428571428
450,Grenada,GRD,2004,78.34671428571428
451,Grenada,GRD,2005,78.34671428571428
452,Grenada,GRD,2006,78.34671428571428
453,Grenada,GRD,2007,78.34671428571428
454,Grenada,GRD,2008,78.34671428571428
455,Greenland,GRL,2004,78.34671428571428
456,Greenland,GRL,2005,78.34671428571428
457,Greenland,GRL,2006,78.34671428571428
458,Greenland,GRL,2007,78.34671428571428
459,Greenland,GRL,2008,78.34671428571428
460,Guatemala,GTM,2004,78.34671428571428
461,Guatemala,GTM,2005,78.34671428571428
462,Guatemala,GTM,2006,78.34671428571428
463,Guatemala,GTM,2007,78.34671428571428
464,Guatemala,GTM,2008,78.34671428571428
465,Guam,GUM,2004,78.34671428571428
466,Guam,GUM,2005,78.34671428571428
467,Guam,GUM,2006,78.34671428571428
468,Guam,GUM,2007,78.34671428571428
469,Guam,GUM,2008,78.34671428571428
470,Guyana,GUY,2004,78.34671428571428
471,Guyana,GUY,2005,78.34671428571428
472,Guyana,GUY,2006,78.34671428571428
473,Guyana,GUY,2007,78.34671428571428
474,Guyana,GUY,2008,78.34671428571428
475,High income,HIC,2004,78.34671428571428
476,High income,HIC,2005,78.34671428571428
477,High income,HIC,2006,78.34671428571428
478,High income,HIC,2007,78.34671428571428
479,High income,HIC,2008,78.34671428571428
480,"Hong Kong SAR, China",HKG,2004,78.34671428571428
481,"Hong Kong SAR, China",HKG,2005,78.34671428571428
482,"Hong Kong SAR, China",HKG,2006,78.34671428571428
483,"Hong Kong SAR, China",HKG,2007,78.34671428571428
484,"Hong Kong SAR, China",HKG,2008,78.34671428571428
485,Honduras,HND,2004,78.34671428571428
486,Honduras,HND,2005,78.34671428571428
487,Honduras,HND,2006,78.34671428571428
488,Honduras,HND,2007,78.34671428571428
489,Honduras,HND,2008,78.34671428571428
490,Heavily indebted poor countries (HIPC),HPC,2004,78.34671428571428
491,Heavily indebted poor countries (HIPC),HPC,2005,78.34671428571428
492,Heavily indebted poor countries (HIPC),HPC,2006,78.34671428571428
