year,location_code,prodinit_ippu_metals_tonne
2019,TLS,22569.842444979
2020,TLS,35959.6439420978
2010,TON,4411.82551443423
2011,TON,5217.02609041585
2012,TON,4411.24132424615
2013,TON,4069.032228182
2014,TON,5355.61488572563
2015,TON,3964.95681087208
2016,TON,5110.13006761611
2017,TON,3202.23051182291
2018,TON,5076.48458718464
2019,TON,4431.32630449117
2020,TON,4607.5425803892
2010,TUN,1113400.64006719
2011,TUN,1087325.02785454
2012,TUN,986082.81853842
2013,TUN,1090815.4199378
2014,TUN,1100891.24239837
2015,TUN,1084860.67953853
2016,TUN,1099784.89506772
2017,TUN,1098117.39400624
2018,TUN,1206092.73498035
2019,TUN,1147282.24384311
2020,TUN,1080449.74218337
2010,TUR,34342148.886121
2011,TUR,35227182.9421423
2012,TUR,37568229.3689626
2013,TUR,39920910.3176249
2014,TUR,36730927.2783764
2015,TUR,34836334.5507462
2016,TUR,34855556.5933774
2017,TUR,36066837.4005812
2018,TUR,35777572.3468358
2019,TUR,33951467.9664296
2020,TUR,33894224.4841988
2010,TZA,699189.278825847
2011,TZA,580976.758356461
2012,TZA,639744.074524903
2013,TZA,1148396.00622062
2014,TZA,1162108.30998945
2015,TZA,1447468.73984581
2016,TZA,1257664.48189018
2017,TZA,1454412.73450809
2018,TZA,2486596.89798066
2019,TZA,2510823.34151966
2020,TZA,2900883.42222097
2010,UGA,344982.572523149
2011,UGA,384935.751401475
2012,UGA,329046.769569436
2013,UGA,421506.992978441
2014,UGA,487408.034850665
2015,UGA,453038.410304701
2016,UGA,462878.158281706
2017,UGA,440801.360384814
2018,UGA,509570.856951019
2019,UGA,488469.381245162
2020,UGA,507138.602813079
2010,UKR,9118136.69815727
2011,UKR,10156853.0100846
2012,UKR,9810283.68795176
2013,UKR,10706094.0661578
2014,UKR,7749488.90867553
2015,UKR,4877923.23363619
2016,UKR,4884564.95429687
2017,UKR,5877045.85884428
2018,UKR,7168110.24420379
2019,UKR,7633561.16390268
2020,UKR,7294831.93990944
2010,URY,348555.618487044
2011,URY,450016.863413797
2012,URY,542338.198888793
2013,URY,599134.11503705
2014,URY,544402.276127471
2015,URY,560330.329225652
2016,URY,468821.377264195
2017,URY,567064.402769464
2018,URY,598566.147262352
2019,URY,547002.32089145
2020,URY,641412.987667316
2010,USA,217360306.396283
2011,USA,225476600.747609
2012,USA,246979155.775666
2013,USA,261700879.785569
2014,USA,270150990.460163
2015,USA,276273098.542961
2016,USA,279999350.406213
2017,USA,297120060.923597
2018,USA,313309916.475265
2019,USA,321085343.159441
2020,USA,316968719.326697
2010,UZB,1191857.10548877
2011,UZB,1394526.54157246
2012,UZB,1756143.00220967
2013,UZB,2389662.75108362
2014,UZB,2622637.48395419
2015,UZB,2576157.09847088
2016,UZB,2502280.41574931
2017,UZB,2207870.81830837
2018,UZB,1845492.33690964
2019,UZB,2263966.293684
2020,UZB,2486059.00218353
2010,VEN,3330299.81214442
2011,VEN,3622891.41685464
2012,VEN,4319944.81812767
2013,VEN,2884606.80356271
2014,VEN,2265480.86910165
2015,VEN,3284644.74395822
2016,VEN,3284644.74395822
2017,VEN,3284644.74395822
2018,VEN,3284644.74395822
2019,VEN,3284644.74395822
2020,VEN,3284644.74395822
2010,VNM,5036231.05651072
2011,VNM,5081679.41303785
2012,VNM,5839667.40281472
2013,VNM,6748309.53717293
2014,VNM,7565282.82334879
2015,VNM,7671127.5296238
2016,VNM,8514937.74132648
2017,VNM,7554808.5859328
2018,VNM,8903642.22813611
2019,VNM,9813558.5957729
2020,VNM,9787724.06041439
2010,VUT,5716.84127230274
2011,VUT,7101.24288566388
2012,VUT,9727.35252480333
2013,VUT,15104.2422274965
2014,VUT,6050.44990994911
2015,VUT,8697.08532889655
2016,VUT,11488.5625829297
2017,VUT,7575.30415197357
2018,VUT,8923.97401878531
2019,VUT,9931.2366930419
2020,VUT,13954.5732850239
2010,WSM,14404.5785498671
2011,WSM,13189.0148201475
2012,WSM,12320.6831769513
2013,WSM,15303.4562928438
2014,WSM,16890.2622452491
2015,WSM,25157.829174271
2016,WSM,26504.91022521
2017,WSM,32670.3143176116
2018,WSM,25985.3969935961
2019,WSM,28438.4997432778
2020,WSM,27445.5787460322
2010,YEM,467414.162532269
2011,YEM,358307.284071086
2012,YEM,519374.709514125
2013,YEM,806596.475747528
2014,YEM,860002.965257537
2015,YEM,286999.762743297
2016,YEM,465066.393927745
2017,YEM,377846.24575032
2018,YEM,647540.170076395
2019,YEM,532127.574402256
2020,YEM,532127.574402256
2010,ZAF,12374559.8760788
2011,ZAF,12160172.785367
2012,ZAF,11754561.6663826
2013,ZAF,12059084.2669467
2014,ZAF,11198877.1256071
2015,ZAF,10577931.0628817
2016,ZAF,9792033.34256131
2017,ZAF,11911904.226091
2018,ZAF,12161955.6038405
2019,ZAF,11709366.6423588
2020,ZAF,9731322.24488881
2010,ZMB,2649228.16966076
2011,ZMB,2728050.70348465
2012,ZMB,3039301.50695167
2013,ZMB,3010307.87193949
2014,ZMB,3086593.11736123
2015,ZMB,2583555.62968103
2016,ZMB,2768120.10691403
2017,ZMB,3528251.87982098
2018,ZMB,4127757.44544337
2019,ZMB,4095802.3318614
2020,ZMB,2817171.09986394
2010,ZWE,382830.668697569
2011,ZWE,396834.304209694
2012,ZWE,438818.179425402
2013,ZWE,736081.875635499
2014,ZWE,548494.014960034
2015,ZWE,1113878.54087419
2016,ZWE,855408.418014492
2017,ZWE,897411.087441142
2018,ZWE,931409.763200429
2019,ZWE,825753.643759961
2020,ZWE,1207586.27984115
