Year,iso_code3,frac_waso_non_recycled_incinerated
2018,DMA,0.10434073332989358
2019,DMA,0.10434073332989358
2020,DMA,0.10434073332989358
2010,DNK,0.4790970718202591
2011,DNK,0.4790970718202591
2012,DNK,0.4790970718202591
2013,DNK,0.4790970718202591
2014,DNK,0.4790970718202591
2015,DNK,0.4790970718202591
2016,DNK,0.4790970718202591
2017,DNK,0.4790970718202591
2018,DNK,0.4790970718202591
2019,DNK,0.4790970718202591
2020,DNK,0.4790970718202591
2010,DOM,0.20408412232649015
2011,DOM,0.20408412232649015
2012,DOM,0.20408412232649015
2013,DOM,0.20408412232649015
2014,DOM,0.20408412232649015
2015,DOM,0.20408412232649015
2016,DOM,0.20408412232649015
2017,DOM,0.20408412232649015
2018,DOM,0.20408412232649015
2019,DOM,0.20408412232649015
2020,DOM,0.20408412232649015
2010,DZA,0.23614440881029783
2011,DZA,0.23614440881029783
2012,DZA,0.23614440881029783
2013,DZA,0.23614440881029783
2014,DZA,0.23614440881029783
2015,DZA,0.23614440881029783
2016,DZA,0.23614440881029783
2017,DZA,0.23614440881029783
2018,DZA,0.23614440881029783
2019,DZA,0.23614440881029783
2020,DZA,0.23614440881029783
2010,ECU,0.4411162333608411
2011,ECU,0.4411162333608411
2012,ECU,0.4411162333608411
2013,ECU,0.4411162333608411
2014,ECU,0.4411162333608411
2015,ECU,0.4411162333608411
2016,ECU,0.4411162333608411
2017,ECU,0.4411162333608411
2018,ECU,0.4411162333608411
2019,ECU,0.4411162333608411
2020,ECU,0.4411162333608411
2010,EGY,0.16093409561434718
2011,EGY,0.16093409561434718
2012,EGY,0.16093409561434718
2013,EGY,0.16093409561434718
2014,EGY,0.16093409561434718
2015,EGY,0.16093409561434718
2016,EGY,0.16093409561434718
2017,EGY,0.16093409561434718
2018,EGY,0.16093409561434718
2019,EGY,0.16093409561434718
2020,EGY,0.16093409561434718
2010,ERI,0.20568500372135193
2011,ERI,0.20568500372135193
2012,ERI,0.20568500372135193
2013,ERI,0.20568500372135193
2014,ERI,0.20568500372135193
2015,ERI,0.20568500372135193
2016,ERI,0.20568500372135193
2017,ERI,0.20568500372135193
2018,ERI,0.20568500372135193
2019,ERI,0.20568500372135193
2020,ERI,0.20568500372135193
2010,ESP,0.09520154942623316
2011,ESP,0.09520154942623316
2012,ESP,0.09520154942623316
2013,ESP,0.09520154942623316
2014,ESP,0.09520154942623316
2015,ESP,0.09520154942623316
2016,ESP,0.09520154942623316
2017,ESP,0.09520154942623316
2018,ESP,0.09520154942623316
2019,ESP,0.09520154942623316
2020,ESP,0.09520154942623316
2010,EST,0.4477941151276183
2011,EST,0.4477941151276183
2012,EST,0.4477941151276183
2013,EST,0.4477941151276183
2014,EST,0.4477941151276183
