Year,iso_code3,cost_enfu_fuel_natural_gas_usd_per_mmbtu
2044,PAN,6.239751837344495
2045,PAN,6.239751837344495
2046,PAN,6.239751837344495
2047,PAN,6.239751837344495
2048,PAN,6.239751837344495
2049,PAN,6.239751837344495
2050,PAN,6.239751837344495
2021,PER,6.239751837344495
2022,PER,6.239751837344495
2023,PER,6.239751837344495
2024,PER,6.239751837344495
2025,PER,6.239751837344495
2026,PER,6.239751837344495
2027,PER,6.239751837344495
2028,PER,6.239751837344495
2029,PER,6.239751837344495
2030,PER,6.239751837344495
2031,PER,6.239751837344495
2032,PER,6.239751837344495
2033,PER,6.239751837344495
2034,PER,6.239751837344495
2035,PER,6.239751837344495
2036,PER,6.239751837344495
2037,PER,6.239751837344495
2038,PER,6.239751837344495
2039,PER,6.239751837344495
2040,PER,6.239751837344495
2041,PER,6.239751837344495
2042,PER,6.239751837344495
2043,PER,6.239751837344495
2044,PER,6.239751837344495
2045,PER,6.239751837344495
2046,PER,6.239751837344495
2047,PER,6.239751837344495
2048,PER,6.239751837344495
2049,PER,6.239751837344495
2050,PER,6.239751837344495
2021,PHL,6.239751837344495
2022,PHL,6.239751837344495
2023,PHL,6.239751837344495
2024,PHL,6.239751837344495
2025,PHL,6.239751837344495
2026,PHL,6.239751837344495
2027,PHL,6.239751837344495
2028,PHL,6.239751837344495
2029,PHL,6.239751837344495
2030,PHL,6.239751837344495
2031,PHL,6.239751837344495
2032,PHL,6.239751837344495
2033,PHL,6.239751837344495
2034,PHL,6.239751837344495
2035,PHL,6.239751837344495
2036,PHL,6.239751837344495
2037,PHL,6.239751837344495
2038,PHL,6.239751837344495
2039,PHL,6.239751837344495
2040,PHL,6.239751837344495
2041,PHL,6.239751837344495
2042,PHL,6.239751837344495
2043,PHL,6.239751837344495
2044,PHL,6.239751837344495
2045,PHL,6.239751837344495
2046,PHL,6.239751837344495
2047,PHL,6.239751837344495
2048,PHL,6.239751837344495
2049,PHL,6.239751837344495
2050,PHL,6.239751837344495
2021,PLW,6.239751837344495
2022,PLW,6.239751837344495
2023,PLW,6.239751837344495
2024,PLW,6.239751837344495
2025,PLW,6.239751837344495
2026,PLW,6.239751837344495
2027,PLW,6.239751837344495
2028,PLW,6.239751837344495
2029,PLW,6.239751837344495
2030,PLW,6.239751837344495
2031,PLW,6.239751837344495
2032,PLW,6.239751837344495
2033,PLW,6.239751837344495
2034,PLW,6.239751837344495
2035,PLW,6.239751837344495
2036,PLW,6.239751837344495
2037,PLW,6.239751837344495
2038,PLW,6.239751837344495
2039,PLW,6.239751837344495
2040,PLW,6.239751837344495
2041,PLW,6.239751837344495
2042,PLW,6.239751837344495
2043,PLW,6.239751837344495
2044,PLW,6.239751837344495
2045,PLW,6.239751837344495
2046,PLW,6.239751837344495
2047,PLW,6.239751837344495
2048,PLW,6.239751837344495
2049,PLW,6.239751837344495
2050,PLW,6.239751837344495
2021,PNG,6.239751837344495
2022,PNG,6.239751837344495
2023,PNG,6.239751837344495
2024,PNG,6.239751837344495
2025,PNG,6.239751837344495
2026,PNG,6.239751837344495
2027,PNG,6.239751837344495
2028,PNG,6.239751837344495
2029,PNG,6.239751837344495
2030,PNG,6.239751837344495
2031,PNG,6.239751837344495
2032,PNG,6.239751837344495
2033,PNG,6.239751837344495
2034,PNG,6.239751837344495
2035,PNG,6.239751837344495
2036,PNG,6.239751837344495
2037,PNG,6.239751837344495
2038,PNG,6.239751837344495
2039,PNG,6.239751837344495
2040,PNG,6.239751837344495
2041,PNG,6.239751837344495
2042,PNG,6.239751837344495
2043,PNG,6.239751837344495
2044,PNG,6.239751837344495
2045,PNG,6.239751837344495
2046,PNG,6.239751837344495
2047,PNG,6.239751837344495
2048,PNG,6.239751837344495
2049,PNG,6.239751837344495
2050,PNG,6.239751837344495
2021,POL,22.67426515408029
2022,POL,22.67426515408029
2023,POL,22.67426515408029
2024,POL,22.67426515408029
2025,POL,22.67426515408029
2026,POL,22.67426515408029
2027,POL,22.67426515408029
2028,POL,22.67426515408029
2029,POL,22.67426515408029
2030,POL,22.67426515408029
2031,POL,22.67426515408029
2032,POL,22.67426515408029
2033,POL,22.67426515408029
2034,POL,22.67426515408029
2035,POL,22.67426515408029
2036,POL,22.67426515408029
2037,POL,22.67426515408029
2038,POL,22.67426515408029
2039,POL,22.67426515408029
2040,POL,22.67426515408029
2041,POL,22.67426515408029
2042,POL,22.67426515408029
2043,POL,22.67426515408029
2044,POL,22.67426515408029
2045,POL,22.67426515408029
2046,POL,22.67426515408029
2047,POL,22.67426515408029
2048,POL,22.67426515408029
2049,POL,22.67426515408029
2050,POL,22.67426515408029
2021,PRI,6.239751837344495
2022,PRI,6.239751837344495
2023,PRI,6.239751837344495
2024,PRI,6.239751837344495
2025,PRI,6.239751837344495
2026,PRI,6.239751837344495
2027,PRI,6.239751837344495
2028,PRI,6.239751837344495
2029,PRI,6.239751837344495
