iso_code3,Nation,Year,yf_agrc_tubers_tonne_ha
BRA,Brazil,2044,19.93017816625
BRA,Brazil,2045,19.93017816625
BRA,Brazil,2046,19.93017816625
BRA,Brazil,2047,19.93017816625
BRA,Brazil,2048,19.93017816625
BRA,Brazil,2049,19.93017816625
BRA,Brazil,2050,19.93017816625
BRB,Barbados,2023,9.745632941
BRB,Barbados,2024,9.745632941
BRB,Barbados,2025,9.745632941
BRB,Barbados,2026,9.745632941
BRB,Barbados,2027,9.745632941
BRB,Barbados,2028,9.745632941
BRB,Barbados,2029,9.745632941
BRB,Barbados,2030,9.745632941
BRB,Barbados,2031,9.745632941
BRB,Barbados,2032,9.745632941
BRB,Barbados,2033,9.745632941
BRB,Barbados,2034,9.745632941
BRB,Barbados,2035,9.745632941
BRB,Barbados,2036,9.745632941
BRB,Barbados,2037,9.745632941
BRB,Barbados,2038,9.745632941
BRB,Barbados,2039,9.745632941
BRB,Barbados,2040,9.745632941
BRB,Barbados,2041,9.745632941
BRB,Barbados,2042,9.745632941
BRB,Barbados,2043,9.745632941
BRB,Barbados,2044,9.745632941
BRB,Barbados,2045,9.745632941
BRB,Barbados,2046,9.745632941
BRB,Barbados,2047,9.745632941
BRB,Barbados,2048,9.745632941
BRB,Barbados,2049,9.745632941
BRB,Barbados,2050,9.745632941
BRN,Brunei Darussalam,2023,20.723648462
BRN,Brunei Darussalam,2024,20.723648462
BRN,Brunei Darussalam,2025,20.723648462
BRN,Brunei Darussalam,2026,20.723648462
BRN,Brunei Darussalam,2027,20.723648462
BRN,Brunei Darussalam,2028,20.723648462
BRN,Brunei Darussalam,2029,20.723648462
BRN,Brunei Darussalam,2030,20.723648462
BRN,Brunei Darussalam,2031,20.723648462
BRN,Brunei Darussalam,2032,20.723648462
