Year,iso_code3,pij_lndu_wetlands_to_forests_secondary
2034,BLR,0.0041732610040534
2035,BLR,0.0041732610040534
2036,BLR,0.0041732610040534
2037,BLR,0.0041732610040534
2038,BLR,0.0041732610040534
2039,BLR,0.0041732610040534
2040,BLR,0.0041732610040534
2041,BLR,0.0041732610040534
2042,BLR,0.0041732610040534
2043,BLR,0.0041732610040534
2044,BLR,0.0041732610040534
2045,BLR,0.0041732610040534
2046,BLR,0.0041732610040534
2047,BLR,0.0041732610040534
2048,BLR,0.0041732610040534
2049,BLR,0.0041732610040534
2050,BLR,0.0041732610040534
2019,BLZ,2.258042821037273e-05
2020,BLZ,0.0039286273731699
2021,BLZ,0.0039286273731699
2022,BLZ,0.0039286273731699
2023,BLZ,0.0039286273731699
2024,BLZ,0.0039286273731699
2025,BLZ,0.0039286273731699
2026,BLZ,0.0039286273731699
2027,BLZ,0.0039286273731699
2028,BLZ,0.0039286273731699
2029,BLZ,0.0039286273731699
2030,BLZ,0.0039286273731699
2031,BLZ,0.0039286273731699
2032,BLZ,0.0039286273731699
2033,BLZ,0.0039286273731699
2034,BLZ,0.0039286273731699
2035,BLZ,0.0039286273731699
2036,BLZ,0.0039286273731699
2037,BLZ,0.0039286273731699
2038,BLZ,0.0039286273731699
2039,BLZ,0.0039286273731699
2040,BLZ,0.0039286273731699
2041,BLZ,0.0039286273731699
2042,BLZ,0.0039286273731699
2043,BLZ,0.0039286273731699
2044,BLZ,0.0039286273731699
2045,BLZ,0.0039286273731699
2046,BLZ,0.0039286273731699
2047,BLZ,0.0039286273731699
2048,BLZ,0.0039286273731699
2049,BLZ,0.0039286273731699
2050,BLZ,0.0039286273731699
2019,BOL,0.0009285861080965
2020,BOL,0.0006105184674849
2021,BOL,0.0006105184674849
2022,BOL,0.0006105184674849
2023,BOL,0.0006105184674849
2024,BOL,0.0006105184674849
2025,BOL,0.0006105184674849
2026,BOL,0.0006105184674849
2027,BOL,0.0006105184674849
2028,BOL,0.0006105184674849
2029,BOL,0.0006105184674849
2030,BOL,0.0006105184674849
2031,BOL,0.0006105184674849
2032,BOL,0.0006105184674849
2033,BOL,0.0006105184674849
2034,BOL,0.0006105184674849
2035,BOL,0.0006105184674849
2036,BOL,0.0006105184674849
2037,BOL,0.0006105184674849
2038,BOL,0.0006105184674849
2039,BOL,0.0006105184674849
2040,BOL,0.0006105184674849
2041,BOL,0.0006105184674849
2042,BOL,0.0006105184674849
2043,BOL,0.0006105184674849
2044,BOL,0.0006105184674849
2045,BOL,0.0006105184674849
2046,BOL,0.0006105184674849
2047,BOL,0.0006105184674849
2048,BOL,0.0006105184674849
2049,BOL,0.0006105184674849
2050,BOL,0.0006105184674849
2019,BRA,0.0009521830620088
2020,BRA,0.0010993406552074
2021,BRA,0.0010993406552074
2022,BRA,0.0010993406552074
2023,BRA,0.0010993406552074
2024,BRA,0.0010993406552074
2025,BRA,0.0010993406552074
2026,BRA,0.0010993406552074
2027,BRA,0.0010993406552074
2028,BRA,0.0010993406552074
2029,BRA,0.0010993406552074
2030,BRA,0.0010993406552074
2031,BRA,0.0010993406552074
2032,BRA,0.0010993406552074
2033,BRA,0.0010993406552074
2034,BRA,0.0010993406552074
2035,BRA,0.0010993406552074
2036,BRA,0.0010993406552074
2037,BRA,0.0010993406552074
2038,BRA,0.0010993406552074
2039,BRA,0.0010993406552074
2040,BRA,0.0010993406552074
2041,BRA,0.0010993406552074
2042,BRA,0.0010993406552074
2043,BRA,0.0010993406552074
2044,BRA,0.0010993406552074
2045,BRA,0.0010993406552074
2046,BRA,0.0010993406552074
2047,BRA,0.0010993406552074
2048,BRA,0.0010993406552074
2049,BRA,0.0010993406552074
2050,BRA,0.0010993406552074
2019,BRN,0.0018223247535402
2020,BRN,0.0023639693410704
2021,BRN,0.0023639693410704
2022,BRN,0.0023639693410704
2023,BRN,0.0023639693410704
2024,BRN,0.0023639693410704
2025,BRN,0.0023639693410704
2026,BRN,0.0023639693410704
2027,BRN,0.0023639693410704
2028,BRN,0.0023639693410704
