TIMESERIES,UNIT,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Dominican Republic.Fuel oil (tonnes).Industry,Total price (National currency/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3869.46,3972.29,4645.25,7612.74,11836.51,13350.66,17213.32,18861.79,25652.33,22203.58,26894.33,35156.54,39045.32,39770.59,38660.10,24257.32,20807.56,27463.39
Dominican Republic.Fuel oil (tonnes).Industry,Total price (USD/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,235.66,234.35,249.61,246.93,281.15,437.58,517.69,566.25,735.66,614.89,720.83,919.61,992.51,951.22,887.51,538.45,451.55,577.21
Dominican Republic.Fuel oil (tonnes).Industry,Total price (USD/unit using PPP),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,538.92,538.25,605.64,757.49,833.56,944.85,1191.23,1188.52,1493.15,1258.71,1464.04,1807.53,1946.43,1941.92,1881.27,1185.02,1021.48,..
Dominican Republic.Kerosene (1000 litres).Residential,Total price (National currency/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6684.43,5799.90,5938.09,9709.64,18723.19,21538.15,26724.56,29169.37,40055.46,27367.72,33052.50,45657.06,49487.90,51730.17,51061.82,35605.11,31386.69,37811.40
Dominican Republic.Kerosene (1000 litres).Residential,Total price (USD/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,407.09,342.18,319.08,314.94,444.73,705.94,803.75,875.69,1148.71,757.90,885.89,1194.27,1257.95,1237.27,1172.22,790.35,681.13,794.69
Dominican Republic.Kerosene (1000 litres).Residential,Total price (USD/unit using PPP),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,930.98,785.89,774.20,966.13,1318.54,1524.29,1849.45,1838.02,2331.52,1551.46,1799.27,2347.41,2466.99,2525.89,2484.76,1739.38,1540.83,..
Dominican Republic.Liquified Petroleum Gas (litre).Residential,Total price (National currency/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6.32,6.60,8.11,11.45,13.49,15.85,16.26,20.90,26.63,25.58,26.63,29.11,21.94,23.33,28.14
Dominican Republic.Liquified Petroleum Gas (litre).Residential,Total price (USD/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.20,0.16,0.27,0.34,0.41,0.46,0.45,0.56,0.70,0.65,0.64,0.67,0.49,0.51,0.59
Dominican Republic.Liquified Petroleum Gas (litre).Residential,Total price (USD/unit using PPP),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.63,0.47,0.57,0.79,0.85,0.92,0.92,1.14,1.37,1.27,1.30,1.42,1.07,1.15,..
Former Yugoslav Republic of Macedonia.Natural gas (MWh).Industry,Total price (National currency/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2838.55,3502.15,2950.45,2959.80,2364.65,1707.80,2196.10
Former Yugoslav Republic of Macedonia.Natural gas (MWh).Industry,Total price (USD/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,64.18,73.13,63.59,63.73,42.58,30.64,40.17
Former Yugoslav Republic of Macedonia.Natural gas (MWh).Industry,Total price (USD/unit using PPP),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,147.15,184.32,154.39,155.78,121.26,87.44,..
Former Yugoslav Republic of Macedonia.Natural gas (MWh).Residential,Total price (National currency/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2967.80
Former Yugoslav Republic of Macedonia.Natural gas (MWh).Residential,Total price (USD/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,54.29
Former Yugoslav Republic of Macedonia.Natural gas (MWh).Residential,Total price (USD/unit using PPP),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Ghana.Fuel oil (tonnes).Industry,Total price (National currency/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6.89,12.20,12.61,11.68,13.68,16.94,21.93,31.19,32.01,41.58,100.91,136.73,144.89,201.49,204.09,288.81,383.83,438.77,651.97,560.85,711.13,887.24,888.70,1095.05,1538.60,1437.18,1261.76,1492.99
Ghana.Fuel oil (tonnes).Industry,Total price (USD/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,229.67,305.00,315.13,194.68,136.84,141.17,137.04,155.95,139.19,154.00,186.87,189.90,183.41,231.60,226.77,317.38,417.20,466.78,615.07,397.77,497.29,587.58,493.72,561.56,530.55,391.60,322.70,343.21
Ghana.Fuel oil (tonnes).Industry,Total price (USD/unit using PPP),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,689.00,1220.00,1260.50,584.05,684.20,564.67,548.17,623.80,533.57,692.98,1261.36,1243.00,1114.55,1259.34,1133.83,1444.07,1096.65,1096.94,1387.18,1038.62,1128.78,1267.49,1124.94,1216.72,1493.78,1197.65,907.74,..
Ghana.Kerosene (1000 litres).Residential,Total price (National currency/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8.80,16.12,15.60,24.89,27.41,32.79,39.94,48.62,49.47,60.58,127.77,186.40,195.56,380.41,388.89,496.56,624.24,738.68,1064.26,793.39,910.00,910.00,910.00,1274.42,2851.32,2997.90,..,..
Ghana.Kerosene (1000 litres).Residential,Total price (USD/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,293.33,403.10,390.00,414.78,274.05,273.27,249.60,243.11,215.09,224.37,236.60,258.89,247.54,437.26,432.10,545.67,678.52,785.83,1004.02,562.69,636.36,602.65,505.56,653.55,983.21,816.87,..,..
Ghana.Kerosene (1000 litres).Residential,Total price (USD/unit using PPP),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,880.00,1612.40,1560.00,1244.35,1370.25,1093.07,998.40,972.44,824.52,1009.68,1597.08,1694.55,1504.28,2377.59,2160.49,2482.80,1783.54,1846.70,2264.38,1469.24,1444.44,1300.00,1151.90,1416.02,2768.27,2498.25,..,..
Ghana.Liquified Petroleum Gas (litre).Residential,Total price (National currency/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.04,0.04,0.05,0.10,0.12,0.12,0.20,0.21,0.28,0.36,0.43,0.53,0.40,0.45,0.57,0.71,1.10,1.62,1.47,..,..
Ghana.Liquified Petroleum Gas (litre).Residential,Total price (USD/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.17,0.13,0.13,0.10,0.11,0.13,0.12,0.22,0.20,0.19,0.18,0.16,0.15,0.23,0.23,0.31,0.40,0.45,0.50,0.28,0.32,0.38,0.39,0.56,0.56,0.40,..,..
Ghana.Liquified Petroleum Gas (litre).Residential,Total price (USD/unit using PPP),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.50,0.50,0.50,0.30,0.55,0.50,0.47,0.86,0.75,0.87,1.24,1.06,0.92,1.26,1.14,1.42,1.04,1.06,1.13,0.73,0.72,0.81,0.90,1.22,1.57,1.22,..,..
Hong Kong (China).Liquified Petroleum Gas (litre).Transport,Total price (National currency/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7.35,7.93,8.35,9.72,8.65,9.84,10.85,11.81,12.44,13.19,12.73,..,..
Hong Kong (China).Liquified Petroleum Gas (litre).Transport,Total price (USD/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.94,1.02,1.07,1.25,1.12,1.27,1.40,1.52,1.60,1.70,1.64,..,..
Hong Kong (China).Liquified Petroleum Gas (litre).Transport,Total price (USD/unit using PPP),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.29,1.45,1.51,1.77,1.60,1.83,1.99,2.13,2.24,2.34,2.21,..,..
Indonesia.Coal (tonne).Electricity Generation,Total price (National currency/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,153790.81,199601.75,219748.81,230820.93,230748.23,251549.61,335811.46,338758.04,335811.46,489230.21,656710.42,698621.10,746219.66,938559.74,1004500.64,662460.00,611228.78,..
Indonesia.Coal (tonne).Electricity Generation,Total price (USD/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,18.26,19.45,23.60,26.91,25.81,25.92,36.66,37.06,34.62,47.09,72.24,79.66,79.50,89.72,84.66,49.48,45.93,..
Indonesia.Coal (tonne).Electricity Generation,Total price (USD/unit using PPP),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,101.18,117.51,124.04,125.97,119.21,117.32,141.50,131.71,112.67,152.76,191.72,193.71,203.09,247.29,255.00,163.73,149.34,..
Indonesia.Kerosene (1000 litres).Residential,Total price (National currency/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,297502.13,377219.74,399998.73,1832082.28,1799997.27,2363331.44,1999999.60,1999999.60,2291669.17,2499999.50,2499999.50,2499999.50,2499999.50,2499999.50,2499999.50,2499999.50,2499999.50,2500000.00
Indonesia.Kerosene (1000 litres).Residential,Total price (USD/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,35.33,36.76,42.96,213.60,201.37,243.52,218.36,218.79,236.28,240.62,275.01,285.05,266.34,238.98,210.70,186.72,187.85,186.83
Indonesia.Kerosene (1000 litres).Residential,Total price (USD/unit using PPP),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,195.72,222.07,225.79,999.90,929.89,1102.23,842.72,777.60,768.92,780.60,729.86,693.18,680.41,658.68,634.63,617.90,610.81,..
Indonesia.Liquified Petroleum Gas 12-kg cylinder (litre).Residential,Total price (National currency/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.14,1.14,1.30,1.54,1.63,2.31,2.31,2.31,3.06,3.17,3.17,3.17,3.17,3.45,5.69,6.32,5.91,..
Indonesia.Liquified Petroleum Gas 12-kg cylinder (litre).Residential,Total price (USD/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,..
Indonesia.Liquified Petroleum Gas 12-kg cylinder (litre).Residential,Total price (USD/unit using PPP),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,..
Indonesia.Liquified Petroleum Gas 3-kg cylinder (litre).Residential,Total price (National currency/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.31,2.31,2.31,2.31,2.31,2.31,2.31,2.31,2.31,2.31,..
Indonesia.Liquified Petroleum Gas 3-kg cylinder (litre).Residential,Total price (USD/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,..
Indonesia.Liquified Petroleum Gas 3-kg cylinder (litre).Residential,Total price (USD/unit using PPP),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,..
Indonesia.Natural gas (MWh).Electricity Generation,Total price (National currency/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,79297.55,75733.54,73527.19,91210.46,118986.53,132415.89,124838.49,199647.22,288664.88,331535.32,331666.11,..,..
Indonesia.Natural gas (MWh).Electricity Generation,Total price (USD/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8.17,8.27,8.04,9.40,11.45,14.57,14.23,21.27,27.59,27.94,24.77,..,..
Indonesia.Natural gas (MWh).Electricity Generation,Total price (USD/unit using PPP),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,36.98,31.91,28.59,30.60,37.15,38.66,34.61,54.34,76.06,84.16,81.97,..,..
Jordan.Fuel oil (tonnes).Industry,Total price (National currency/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,501.28,480.10,453.70,287.13,233.28,..
Jordan.Fuel oil (tonnes).Industry,Total price (USD/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,706.03,676.20,639.01,404.42,328.57,..
Jordan.Fuel oil (tonnes).Industry,Total price (USD/unit using PPP),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1670.93,1548.71,1417.82,897.30,729.01,..
Jordan.Kerosene (1000 litres).Residential,Total price (National currency/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,537.19,667.50,648.75,442.08,395.78,..
Jordan.Kerosene (1000 litres).Residential,Total price (USD/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,756.61,940.14,913.73,622.65,557.43,..
Jordan.Kerosene (1000 litres).Residential,Total price (USD/unit using PPP),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1790.65,2153.23,2027.34,1381.51,1236.81,..
Jordan.Liquified Petroleum Gas (litre).Residential,Total price (National currency/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.31,0.45,0.45,0.35,0.31,..
Jordan.Liquified Petroleum Gas (litre).Residential,Total price (USD/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.44,0.63,0.63,0.49,0.44,..
Jordan.Liquified Petroleum Gas (litre).Residential,Total price (USD/unit using PPP),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.04,1.45,1.40,1.08,0.98,..
Kazakhstan.Liquified Petroleum Gas (litre).Residential,Total price (National currency/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,50.98,51.73,52.04,52.13,43.42,43.71,50.42
Kazakhstan.Liquified Petroleum Gas (litre).Residential,Total price (USD/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.35,0.35,0.34,0.29,0.20,0.13,0.16
Kazakhstan.Liquified Petroleum Gas (litre).Residential,Total price (USD/unit using PPP),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.64,0.63,0.58,0.56,0.47,0.42,..
Kenya.Kerosene (1000 litres).Residential,Total price (National currency/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,82149.97,81984.03,58191.81,52761.69,64614.30
Kenya.Kerosene (1000 litres).Residential,Total price (USD/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,953.90,932.48,592.71,519.82,625.08
Kenya.Kerosene (1000 litres).Residential,Total price (USD/unit using PPP),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2155.04,2021.80,1325.86,1126.91,..
Kyrgyzstan.Natural gas (MWh).Residential,Total price (National currency/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5444.11,9788.57,14897.20,10523.61,11529.00,12153.42,15434.70,11166.44,11565.75,11048.20
Kyrgyzstan.Natural gas (MWh).Residential,Total price (USD/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,148.87,228.17,324.13,228.08,245.30,250.90,287.69,173.23,165.44,160.42
Kyrgyzstan.Natural gas (MWh).Residential,Total price (USD/unit using PPP),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,413.06,719.22,1006.57,592.55,608.71,631.67,751.81,532.75,545.30,..
Lithuania.Kerosene (1000 litres).Industry,Total price (National currency/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,405.12,457.87,467.60,616.01,408.63,523.41,665.32,723.83,674.37,623.91,472.95,382.58,351.30
Lithuania.Kerosene (1000 litres).Industry,Total price (USD/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,506.39,572.34,640.55,905.90,567.55,697.88,924.05,927.99,899.16,831.88,525.50,425.09,394.71
Lithuania.Kerosene (1000 litres).Industry,Total price (USD/unit using PPP),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,920.72,1017.49,994.89,1257.17,869.44,1163.14,1478.49,1608.51,1532.66,1417.97,1050.99,850.18,..
Lithuania.Kerosene (1000 litres).Residential,Total price (National currency/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,478.04,540.29,551.77,726.90,488.83,633.33,805.04,875.84,815.99,754.93,572.26,462.92,425.07
Lithuania.Kerosene (1000 litres).Residential,Total price (USD/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,597.55,675.36,755.85,1068.97,678.93,844.44,1118.11,1122.87,1087.99,1006.57,635.85,514.36,477.60
Lithuania.Kerosene (1000 litres).Residential,Total price (USD/unit using PPP),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1086.45,1200.64,1173.97,1483.46,1040.06,1407.40,1788.97,1946.30,1854.52,1715.75,1271.70,1028.72,..
Lithuania.Liquified Petroleum Gas (litre).Transport,Total price (National currency/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.42,0.49,0.49,0.55,0.50,0.58,0.66,0.68,0.66,0.66,0.53,0.48,0.55
Lithuania.Liquified Petroleum Gas (litre).Transport,Total price (USD/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.53,0.61,0.67,0.81,0.70,0.78,0.92,0.87,0.88,0.88,0.59,0.53,0.62
Lithuania.Liquified Petroleum Gas (litre).Transport,Total price (USD/unit using PPP),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.96,1.08,1.05,1.12,1.07,1.30,1.47,1.51,1.50,1.50,1.18,1.06,..
Lithuania.Natural gas (MWh).Industry,Total price (National currency/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,99.60,157.55,128.80,140.50,167.70,188.75,179.00,174.90,35.95,33.25,35.90
Lithuania.Natural gas (MWh).Industry,Total price (USD/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,136.44,231.69,178.89,187.33,232.92,241.99,238.67,233.20,39.94,36.94,40.34
Lithuania.Natural gas (MWh).Industry,Total price (USD/unit using PPP),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,211.91,321.53,274.04,312.22,372.67,419.44,406.82,397.50,79.89,73.89,..
Lithuania.Natural gas (MWh).Residential,Total price (National currency/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,81.00,122.90,143.45,143.00,168.20,193.50,210.00,182.75,42.95,40.00,36.50
Lithuania.Natural gas (MWh).Residential,Total price (USD/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,110.96,180.74,199.24,190.67,233.61,248.08,280.00,243.67,47.72,44.44,41.01
Lithuania.Natural gas (MWh).Residential,Total price (USD/unit using PPP),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,172.34,250.82,305.21,317.78,373.78,430.00,477.27,415.34,95.44,88.89,..
Malta.Kerosene (1000 litres).Industry,Total price (National currency/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,425.84,585.49,580.92,785.63,526.67,594.23,798.38,873.47,883.76,887.85,860.54,850.99,635.60
Malta.Kerosene (1000 litres).Industry,Total price (USD/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,525.73,741.12,795.78,1155.34,731.49,781.88,1108.86,1119.83,1178.35,1183.80,956.16,945.55,714.15
Malta.Kerosene (1000 litres).Industry,Total price (USD/unit using PPP),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,747.09,1027.17,1019.16,1378.31,923.98,1042.50,1400.66,1505.98,1523.72,1504.84,1434.24,1418.32,..
Malta.Kerosene (1000 litres).Residential,Total price (National currency/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,425.84,585.49,580.92,785.63,645.90,701.19,942.08,1030.69,1042.84,1047.67,1015.44,1004.17,750.00
Malta.Kerosene (1000 litres).Residential,Total price (USD/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,525.73,741.12,795.78,1155.34,897.09,922.61,1308.45,1321.40,1390.45,1396.89,1128.27,1115.74,842.70
Malta.Kerosene (1000 litres).Residential,Total price (USD/unit using PPP),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,747.09,1027.17,1019.16,1378.31,1133.16,1230.15,1652.78,1777.05,1797.99,1775.71,1692.40,1673.62,..
Mauritius.Fuel oil (tonnes).Industry,Total price (National currency/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3917.76,3917.76,3917.76,3917.76,3917.76,5908.41,8047.30,7411.99,7411.99,10885.03,13076.86,13076.86,16444.02,17788.77,17089.93,21282.99,23167.76,22108.90,20075.90,12992.16,9889.71,..
Mauritius.Fuel oil (tonnes).Industry,Total price (USD/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,218.26,186.03,163.31,155.53,149.25,202.83,268.60,265.66,269.53,368.98,412.39,417.66,578.00,556.60,555.23,741.31,770.97,720.16,655.65,370.57,278.27,..
Mauritius.Fuel oil (tonnes).Industry,Total price (USD/unit using PPP),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,384.10,371.70,351.37,338.91,339.49,488.70,638.67,567.53,549.44,799.20,893.23,846.40,1027.11,1126.59,1083.70,1335.19,1444.37,1363.06,1239.25,803.97,607.10,..
Mauritius.Kerosene (1000 litres).Residential,Total price (National currency/unit),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3830.00,4120.00,3800.00,3800.00,3800.00,3800.00,4150.00,5650.00,5650.00,5010.00,5600.00,8750.00,8750.00,8750.00,8750.00,10080.00,29390.00,30500.00,34460.00,36780.00,42120.00,47330.00,47300.00,49760.00,48840.00,43180.00,37060.00,..
